"ID1","ID2","Latitude","Longitude","Elevation","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD_0","DD5","DD_18","DD18","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","Eref","CMD"
"JamesTown","blank",38.648984,-120.566768,400,16.3,25.6,8.2,17.3,1207,87,21.8,293.3,20,4163,1461,841,341,52,341,289,5,-10,44.3,1279,774
"JamesTown","blank",38.648984,-120.066753,400,14.3,22.8,5.9,16.9,1369,156,17.7,146.3,36,3488,1868,510,312,87,323,236,14,-16.8,40.4,1176,630
"JamesTown","blank",38.648984,-119.566738,400,13.9,23.5,4.6,18.9,569,102,42,229.8,51,3393,2044,549,284,103,305,203,9,-20.6,42.7,1279,881
"JamesTown","blank",38.648984,-119.066723,400,14.7,25,4.6,20.4,433,92,56.9,271.3,49,3672,1910,700,278,101,302,201,7,-22.5,43.6,1371,1013
"JamesTown","blank",38.648984,-118.566708,400,16.2,28,4.6,23.4,250,74,104.5,376.1,44,4198,1711,1049,286,96,303,207,3,-22.2,45,1459,1209
"JamesTown","blank",38.648984,-118.066694,400,17.3,28.8,6.8,21.9,177,78,154.5,369.1,24,4539,1408,1160,324,70,321,252,1,-14.4,47.7,1463,1287
"JamesTown","blank",38.648984,-117.566679,400,16.6,27.8,6,21.8,245,109,108.5,255.3,30,4298,1548,1034,313,81,315,234,1,-17,46.6,1437,1193
"JamesTown","blank",38.648984,-117.066664,400,16.1,27.9,4.5,23.3,263,110,99,253.6,44,4165,1729,1031,289,92,307,215,2,-21.6,45.3,1451,1188
"JamesTown","blank",39.148999,-123.566857,400,11.2,15.3,7.3,8.1,932,40,22.7,380,34,2336,2533,50,313,94,314,220,10,-13.8,35.1,931,559
"JamesTown","blank",39.148999,-123.066842,400,16,24.9,8.9,16,1325,66,19.6,379.9,18,4039,1477,743,354,26,354,328,5,-5.2,42.6,1114,668
"JamesTown","blank",39.148999,-122.566827,400,15.6,25.2,7.5,17.7,629,33,40.7,752.3,25,3941,1624,763,338,58,341,284,4,-10,44.1,1220,896
"JamesTown","blank",39.148999,-122.066812,400,14.5,24,5.5,18.5,422,27,58.1,903.4,41,3584,1896,625,308,88,316,228,6,-16.2,43.1,1279,994
"JamesTown","blank",39.148999,-121.566798,400,15.1,24.6,5.9,18.7,538,30,46.6,807,35,3785,1749,701,321,74,325,252,6,-14.9,43.1,1272,944
"JamesTown","blank",39.148999,-121.066783,400,15.1,24.3,7.4,16.9,1223,77,20.5,315.1,27,3735,1712,641,322,77,325,248,9,-13.8,43.1,1250,771
"JamesTown","blank",39.148999,-120.566768,400,14.9,23.5,7.4,16.1,1700,146,14.7,160.8,27,3688,1710,591,333,64,336,272,11,-12.1,41.3,1157,611
"JamesTown","blank",39.148999,-120.066753,400,13.5,22.2,4.9,17.4,678,83,34.6,267.5,47,3236,2049,413,298,96,311,214,11,-19.6,40,1220,827
"JamesTown","blank",39.148999,-119.566738,400,15.1,25.7,5,20.7,372,75,67.3,342.6,42,3788,1843,780,313,83,320,237,5,-17.5,42.4,1212,905
"JamesTown","blank",39.148999,-119.066723,400,14.6,26.3,3,23.3,134,53,183.6,495.3,69,3704,2059,818,251,108,285,178,2,-26.6,44.9,1445,1311
"JamesTown","blank",39.148999,-118.566708,400,15.1,27,3.7,23.2,162,62,155.5,434,56,3870,1920,891,273,102,297,194,2,-23.8,44.5,1405,1243
"JamesTown","blank",39.148999,-118.066694,400,18.4,29.5,8.5,21,212,89,134.2,331.8,14,4926,1139,1302,345,43,334,292,0,-9.2,49.8,1463,1251
"JamesTown","blank",39.148999,-117.566679,400,15.9,27.1,5.3,21.8,261,111,99.5,244.4,35,4086,1678,935,301,91,308,218,1,-19.4,46.2,1413,1152
"JamesTown","blank",39.148999,-117.066664,400,15.1,27.6,3.2,24.4,245,78,102.3,353.1,65,3873,1999,945,263,107,292,185,4,-25.6,44.9,1455,1210
"JamesTown","blank",39.649014,-123.566857,400,13.6,20.7,7.2,13.5,2030,95,11.6,217.9,29,3195,1922,318,317,90,317,227,17,-13.5,41.5,1192,684
"JamesTown","blank",39.649014,-123.066842,400,15,23.7,7.2,16.5,1342,76,18.7,312.8,26,3729,1668,602,326,73,326,252,9,-11,44.8,1301,815
"JamesTown","blank",39.649014,-122.566827,400,15,25.2,6.3,18.9,519,40,48.1,636.9,35,3736,1827,734,305,94,317,222,6,-16.8,43.4,1291,965
"JamesTown","blank",39.649014,-122.066812,400,14.8,24.4,5.7,18.8,497,35,50,702.1,39,3699,1831,687,312,84,319,235,6,-16.2,43.3,1265,953
"JamesTown","blank",39.649014,-121.566798,400,15.2,24.9,6.8,18.1,1050,68,24,366.8,30,3809,1721,718,328,68,330,262,9,-13.4,42.9,1210,775
"JamesTown","blank",39.649014,-121.066783,400,14.3,22.8,6.9,15.8,1996,149,12.2,152.5,31,3474,1844,503,320,85,325,241,17,-14,41.8,1192,638
"JamesTown","blank",39.649014,-120.566768,400,16.9,25.5,8.5,17,1887,175,14.2,145.2,17,4367,1301,896,343,49,339,291,7,-11,44,1329,695
"JamesTown","blank",39.649014,-120.066753,400,14.2,23.1,5.1,18,712,105,34,219.9,41,3481,1915,538,294,96,305,209,9,-20,43.3,1292,858
"JamesTown","blank",39.649014,-119.566738,400,15.7,26,5.6,20.4,386,90,66.5,288.3,33,3984,1683,845,321,73,322,249,3,-16.6,43.5,1247,922
"JamesTown","blank",39.649014,-119.066723,400,15.6,28,3.7,24.3,168,62,151.9,453.1,56,4030,1875,1009,285,97,301,204,2,-22.2,44.6,1368,1199
"JamesTown","blank",39.649014,-118.566708,400,14.3,26.5,2.4,24,134,53,182.3,501.6,78,3650,2131,811,257,107,289,182,2,-25.9,44.5,1385,1251
"JamesTown","blank",39.649014,-118.066694,400,15.1,27.9,2.5,25.4,125,46,201.9,606.7,75,3929,2022,995,266,104,293,190,2,-24.6,46.1,1436,1312
"JamesTown","blank",39.649014,-117.566679,400,14.8,27.3,3.1,24.2,216,82,115.1,331.3,67,3796,2037,898,263,108,291,184,3,-25.1,44.9,1426,1211
"JamesTown","blank",39.649014,-117.066664,400,16.3,28.7,5.3,23.4,376,134,70,214.6,38,4238,1690,1092,307,87,315,228,2,-18.4,45,1362,988
"JamesTown","blank",40.149029,-124.066872,400,13.8,21.5,7.3,14.2,2085,144,11.4,149.1,29,3291,1920,408,332,79,339,260,17,-11,41.8,1105,594
"JamesTown","blank",40.149029,-123.566857,400,13.5,21.7,6.1,15.7,1462,94,16.1,230.4,38,3194,2039,394,301,106,307,201,18,-16.1,43.2,1248,759
"JamesTown","blank",40.149029,-123.066842,400,14.8,23.2,7.4,15.7,1633,100,15.2,231.1,27,3624,1743,568,344,51,347,296,12,-8.9,40.7,1082,632
"JamesTown","blank",40.149029,-122.566827,400,16,26.6,7.1,19.6,652,42,39.9,630.5,28,4087,1635,917,329,67,331,264,5,-12.9,44.3,1252,915
"JamesTown","blank",40.149029,-122.066812,400,15.6,26,6.6,19.4,684,71,37.4,368,31,3953,1712,846,325,71,328,256,6,-13.9,44,1249,875
"JamesTown","blank",40.149029,-121.566798,400,13.7,22.6,5.9,16.7,1334,137,17.8,164.5,40,3301,2015,467,306,97,314,217,16,-16.4,42.3,1213,682
"JamesTown","blank",40.149029,-121.066783,400,12.9,22.5,3.4,19,960,93,23.8,242.4,68,3083,2295,431,284,112,300,188,27,-20.4,42.4,1222,807
"JamesTown","blank",40.149029,-120.566768,400,14.9,25.1,5.1,20,656,86,38,290.2,41,3743,1830,718,302,89,310,222,9,-19,45.4,1288,904
"JamesTown","blank",40.149029,-120.066753,400,14.4,25.3,3.6,21.7,256,54,95.2,471,60,3621,2018,722,292,97,305,209,5,-20.4,43.7,1304,1071
"JamesTown","blank",40.149029,-119.566738,400,15.3,27.1,4.1,23.1,181,45,139.8,598.8,55,3941,1899,946,303,87,313,226,3,-19,44,1259,1078
"JamesTown","blank",40.149029,-119.066723,400,15,27,3,24,303,76,82.5,353.3,70,3860,1989,906,284,94,307,212,7,-22.7,44.6,1288,1012
"JamesTown","blank",40.149029,-118.566708,400,15.2,27.9,2.9,24.9,156,58,161.1,478.4,67,3922,1984,973,273,102,295,193,2,-24,45,1378,1222
"JamesTown","blank",40.149029,-118.066694,400,14.9,27.5,2.7,24.9,203,71,122.7,387.4,73,3825,2054,928,264,107,291,184,4,-24.7,45.6,1418,1215
"JamesTown","blank",40.149029,-117.566679,400,15.2,28.1,2.8,25.3,219,74,114.9,378.9,70,3938,2004,1002,266,106,293,187,4,-24.3,46.2,1453,1233
"JamesTown","blank",40.149029,-117.066664,400,15.1,27.8,2.8,25,269,101,93.2,276.6,68,3883,2004,952,271,103,294,190,4,-24.6,45,1405,1136
"JamesTown","blank",40.649044,-124.066872,400,11.3,16.7,6.7,10,1628,109,13.1,153.2,39,2408,2507,78,329,69,330,262,19,-11.7,35.2,819,406
"JamesTown","blank",40.649044,-123.566857,400,13.7,21.9,5.7,16.2,1564,130,15.2,167.8,38,3285,1976,417,307,104,308,204,19,-15.9,43.2,1267,743
"JamesTown","blank",40.649044,-123.066842,400,14.9,24.1,6.7,17.4,1179,102,21.1,236.5,31,3693,1765,637,330,73,331,259,10,-12.1,42.9,1203,761
"JamesTown","blank",40.649044,-122.566827,400,15.7,25.9,7.3,18.6,1642,131,15.7,198.2,27,3983,1655,834,335,60,334,274,12,-11.4,44.3,1189,675
"JamesTown","blank",40.649044,-122.066812,400,16.9,27,7.4,19.6,935,97,28.7,277,24,4383,1460,1055,336,57,335,278,5,-12.2,45,1298,851
"JamesTown","blank",40.649044,-121.566798,400,13.5,22.1,6,16.1,1144,159,20.6,138.3,40,3214,2040,411,310,92,318,227,13,-16.1,40.1,1124,605
"JamesTown","blank",40.649044,-121.066783,400,13.2,22.8,4.5,18.3,648,111,35.8,206,55,3172,2179,447,300,94,309,215,12,-17,42,1150,755
"JamesTown","blank",40.649044,-120.566768,400,13.4,23.5,3.5,20,469,97,49.8,241.6,66,3254,2202,515,278,106,298,192,11,-22.7,42.8,1236,891
"JamesTown","blank",40.649044,-120.066753,400,14.8,26,4.3,21.7,331,80,75,325.9,52,3741,1928,780,308,84,316,232,5,-18.1,44.2,1208,925
"JamesTown","blank",40.649044,-119.566738,400,14.9,27.4,3,24.5,159,41,157,667.5,73,3854,2034,934,285,96,302,206,4,-21.5,45.5,1286,1129
"JamesTown","blank",40.649044,-119.066723,400,15.6,27.2,4.2,23.1,287,84,89,326,52,4009,1831,950,306,84,316,232,4,-18.8,44.9,1245,977
